RespondentID,List the top three characteristics that you feel best describe a creative student. - 1.,List the top three characteristics that you feel best describe a creative student. - 2.,List the top three characteristics that you feel best describe a creative student. - 3.,take_risks,learn_from_exp,confident,happy,inquisitive,divergent_thinking,aesthete,growth_mindset,lateral_thinking,initiative,responsible,motivated,problem_solver,focussed,playful,originality,improvises,flexibility,persistant,knowledge,skills,thoughtful,open_minded,collaborative,intelligent,flighty,expressive,resilient,critical_thinking,convergent_thinking,productive,sensitive,may_be_hesitant,gets_bored_with_curriculum,patient,resourceful,relaxed,tactile,spontaneity,challenge_assumptions,empathic,insightful
4834201100,willing to explore,willing to take risks,willing to learn through experiments,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4832211317,risk taker,confident,happy,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4822666741,Someone who regularly questions why?,The ability to find multiple approaches to solve a problem.,Someone who finds beauty in the world around them.,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4822448154,Ability to generate many ideas,Growth mindset,Able to think outside the square,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4819974265,Risk taker,uses initiative,accepts responsibility,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4818189172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815840115,Lateral thinker,Broad minset,uninhibited in exression,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815732250,inquisitive,giving it a go,desire,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815705183,Not afraid to think,Confident to try new things,Not lazy,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4814128523,problem solver,deep thinker,focused,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
4813786185,curiosity- inquisitorial,risk taker- experimenter,playful- intuitive,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4813587354,original ideas,uniqueness,being able to improvise,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
4813485254,Flexibility,Originality,Persistence,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
4813468976,deep awareness across a range of disciplines,personal interpretation,skillful manipulation of materials and media,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
4813443290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4813411829,Risk taker,Prepared to have a go,"Think first, do later",1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
4813410023,open minded with their thinking and actions,"energised by taking risks with new situations, resources, problems","able to work collaboratively with others, directly, indirectly can network",1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
4813321646,risk taker,thinks outside of the box,likes challenge and change,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4813298496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4813258624,"intelligent, often with lower marks than they deserve.","widely read and informed, hobbies, talk to teacher after class, loners or small group of similar friends.","not task oriented, often late with assignments,",,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,
4813250379,risk taker,problem solver,thinker,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
4813243511,thinker,ability to express themselves,communicator (written or oral),,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
4813237973,Talkative,Confident in their ability,Inquisitive,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
4808844435,imaginative,persistent,enjoys a challenge,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4808490476,Motivation,Imagination,Resilience,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
4808462232,original,experimenting,thinking out side the box,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4808402207,open to others ideas,prepared to fail,"adapts, changes ",,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,
4808210021,flexible in thought,including different genre when answering a piece a work,thinking out of the box,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4806431708,thinking ,innovative,imaginative,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
4806417807,"Open minded, willing to try something different",Resilient,Thoughful,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,
4806098280,articulate,thoughtful,unique,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,
4805983616,"Appreciate art, literature and music",Think critically,Think imaginatively,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4805959209,Risk taker,Independant thinker,Freedom and time to express themselves,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
4805746461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4805318127,individual,unique,surprising,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4805133882,A thinker,Motivated,Interested,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
4802155258,persistence,resilience,initiative,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
4802127796,brave - not scared of failure,cooperative - our class calls it 'piggybacking'. ,"social - independent thinker, but happy to share ",1,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,
4801967005,imaginative,initiative,problem-solver,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801958331,Lateral thinker,Good communicator,resilient,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
4801951944,Expressive,creative,Artistic,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
4801785963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801729244,Enquiring mind,Eager to learn,Able to analyse,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800080575,Asking thoughtful questions,Producing ideas or products that the teacher had no thought of,Not always engaged or following conventional teacher expectations,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
4799985024,Think outside the square ,Generate and try new ideas,Search for multiple answers/ ways of knowing,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
