oldname,newname,invert
RespondentID,id,NA
What is your gender?,gender,NA
How old are you? - Open-Ended Response,age,NA
In which state are you currently based?,state,NA
"In total, how many years of teaching experience do you have? - Open-Ended Response",years_experience,NA
What year group(s) do you teach? - Foundation,yeargroup.0,NA
What year group(s) do you teach? - Year 1,yeargroup.1,NA
What year group(s) do you teach? - Year 2,yeargroup.2,NA
What year group(s) do you teach? - Year 3,yeargroup.3,NA
What year group(s) do you teach? - Year 4,yeargroup.4,NA
What year group(s) do you teach? - Year 5,yeargroup.5,NA
What year group(s) do you teach? - Year 6,yeargroup.6,NA
What year group(s) do you teach? - Year 7,yeargroup.7,NA
What year group(s) do you teach? - Year 8,yeargroup.8,NA
What year group(s) do you teach? - Year 9,yeargroup.9,NA
What year group(s) do you teach? - Year 10,yeargroup.10,NA
What year group(s) do you teach? - Year 11,yeargroup.11,NA
What year group(s) do you teach? - Year 12,yeargroup.12,NA
Primary school,school.primary,NA
Secondary school,school.secondary,NA
"If you teach in high school, what subject do you teach? - Mathematics",subject.maths,NA
"If you teach in high school, what subject do you teach? - Reading, writing and literature",subject.english,NA
"If you teach in high school, what subject do you teach? - History",subject.history,NA
"If you teach in high school, what subject do you teach? - Geography",subject.geography,NA
"If you teach in high school, what subject do you teach? - Biology",subject.biology,NA
"If you teach in high school, what subject do you teach? - Chemistry",subject.chemistry,NA
"If you teach in high school, what subject do you teach? - Physics",subject.physics,NA
"If you teach in high school, what subject do you teach? - Music",subject.music,NA
"If you teach in high school, what subject do you teach? - Arts",subject.art,NA
"If you teach in high school, what subject do you teach? - Foreign language",subject.foreign_language,NA
"If you teach in high school, what subject do you teach? - Social studies",subject.social_studies,NA
"If you teach in high school, what subject do you teach? - Practical and vocational skills",subject.practical_vocational,NA
"If you teach in high school, what subject do you teach? - Physical Education",subject.pe,NA
"If you teach in high school, what subject do you teach? - Other (please specify)",subject.other_bool,NA
"If you teach in high school, what subject do you teach? - Other (please specify)",subject.other_free,NA
At what type of school do you teach? (choose the most appropriate option),school_type,NA
At what type of school do you teach? (choose the most appropriate option) - Other (please specify),school_type_free,NA
"Is your school located in a metropolitan, provincial or remote area?",school_region,NA
Do you in teach in a single sex or mixed sex school?,school_gender,NA
"Different teachers use different teaching methods. Please read each statement below and select one of the five codes to indicate how often you use each method.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 1. I encourage my students to use technology (laptops, tablets, phones, etc.).",methods.technology,1
Different teachers use different teaching methods. Please read each statement below and select one of the five codes to indicate how often you use each method.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 2. I give my students hands-on activities to do.,methods.handson,1
Different teachers use different teaching methods. Please read each statement below and select one of the five codes to indicate how often you use each method.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 3. I get my students to copy passages from textbooks.,methods.textbook,0
Different teachers use different teaching methods. Please read each statement below and select one of the five codes to indicate how often you use each method.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 4. I use worksheets as a teaching tool.,methods.worksheets,0
Different teachers use different teaching methods. Please read each statement below and select one of the five codes to indicate how often you use each method.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 5. I use multiple choice questions to assess what my students have learned.,methods.multichoice,0
Different teachers plan their lessons using different approaches. Please read each statement below and select one of the five codes to indicate how often you use each approach.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 1. I plan my class activities according to the subject curriculum/syllabus.,plan.syllabus,0
Different teachers plan their lessons using different approaches. Please read each statement below and select one of the five codes to indicate how often you use each approach.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 2. I use a project-based approach.,plan.project,1
Different teachers plan their lessons using different approaches. Please read each statement below and select one of the five codes to indicate how often you use each approach.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 3. I focus on getting my students to master basic knowledge and skills.,plan.mastery,1
Different teachers plan their lessons using different approaches. Please read each statement below and select one of the five codes to indicate how often you use each approach.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 4. I use new and unfamiliar problems in my class.,plan.unfamiliar,1
Different teachers plan their lessons using different approaches. Please read each statement below and select one of the five codes to indicate how often you use each approach.<br><br>(1) <em>Never</em> _ (2) <em>Occasionally</em> _ (3) <em>About half the time</em> _ (4) <em>Regularly</em> _ (5) <em>All the time<br></em> - 5. I use ideas and skills from the arts in other curriculum areas.,plan.arts,1
Different teachers encourage their students to approach risk in different ways. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 1. I encourage students who experienced failure to look for other possible solutions.,risk.seek_solutions,1
Different teachers encourage their students to approach risk in different ways. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 2. I encourage my students to explore uncertainty and try things out (e.g. through play).,risk.explore_uncertainty,1
Different teachers encourage their students to approach risk in different ways. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 3. I encourage my students to take risks.,risk.take_risks,1
Different teachers encourage their students to approach risk in different ways. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 4. I encourage students to tackle problems that are considered difficult for their year level.,risk.difficult_problems,1
Different teachers encourage their students to approach risk in different ways. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 5. I encourage my students to think in different ways even if some of the ideas may not work.,risk.think_differently,1
Different teachers encourage their students to approach risk in different ways. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 6. I help my students to learn from their own failures.,risk.learn_from_failure,1
Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 1. I provide activities to encourage students to generate a lot of ideas.,ideas.generate,1
Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 2. I encourage my students to think about how they learn.,ideas.metacog,1
Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 3. I give my students open-ended questions where they are expected to find answers for themselves.,ideas.open_ended,1
"Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 4. In my class, I give students opportunities to judge for themselves whether they are right or wrong.",ideas.judge_self,1
Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 5. I encourage my students to brainstorm to find solutions to problems.,ideas.brainstorm,1
Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 6. I give my students time to think in different ways.,ideas.time_think,1
Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 7. I give my students free time to do as they please.,ideas.free_time,1
Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 8. I get my students to think about the learning strategies they know and how they would apply them in new situations.,ideas.strategies,1
Different teachers place different amounts of emphasis on getting their students to generate new ideas and reflect. Please read each statement below and select one of the five codes to indicate how much you agree or disagree.<br><em><br>(1) Never _ (2) Occasionally _ (3) About half the time _ (4) Regularly _ (5) All the time</em><br><br> - 9. I get my students to generate a lot of ideas and then test them.,ideas.test_ideas,1
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 1. Mathematics",creativity.maths,NA
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 2. Arts education",creativity.arts,NA
